time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
1049,41.69,2700,119039,0.07,-2.0536475620467143,54512,0.09938086662441492
1052,39.78,2710,119346,0.07,-1.9345185925337751,54672,0.11376688163727522
1055,37.94,2720,119603,0.07,-1.8219678775853196,54800,0.13132710102945566
1059,38.88,2730,120027,0.07,-1.8562498860618144,55008,0.12477951683104038
1062,39.17,2740,120374,0.07,-1.8862269414787383,55184,0.09396654646843672
1066,38.55,2750,120788,0.07,-1.8377516447301696,55392,0.11667333729565144
1069,37.47,2760,121076,0.07,-1.798917265072841,55536,0.1106559750624001
1073,37.79,2770,121466,0.07,-1.776588501552557,55728,0.10025409795343876
1077,37.64,2780,121879,0.07,-1.7273214375980266,55936,0.09744728449732065
1079,34.81,2790,122101,0.07,-1.5854997945052645,56048,0.11288710962980986
1082,33.35,2800,122474,0.07,-1.5443278324992957,56232,0.10796407889574766
1087,34.82,2810,122928,0.07,-1.6649420122533478,56456,0.1340851467102766
1091,36.67,2820,123370,0.07,-1.7637062862091395,56680,0.08671354223042727
1094,35.41,2830,123668,0.07,-1.786998961660102,56832,0.09503013035282493
1097,34.64,2840,123938,0.07,-1.718170700444598,56968,0.10620312485843897
1101,34.96,2850,124384,0.07,-1.71162601016916,57184,0.1009239936247468
1105,35.92,2860,124768,0.07,-1.7378021997338307,57376,0.1088801147416234
1109,36.22,2870,125188,0.07,-1.8097787115144406,57592,0.09670373518019915
1112,35.62,2880,125541,0.07,-1.7839699205686932,57768,0.10073832236230373
1118,38.74,2890,126075,0.07,-1.987572545295572,58032,0.09402486588805914
1121,38.76,2900,126450,0.07,-1.942439858940646,58224,0.09476895583793521
1125,37.79,2910,126807,0.07,-1.8786853873281248,58400,0.10678338818252087
1130,39.07,2920,127377,0.07,-1.9729071280870962,58688,0.10973461251705885
1134,40.46,2930,127814,0.07,-1.9950896166495684,58904,0.10074378177523613
1139,42.07,2940,128245,0.07,-2.065579568643474,59120,0.07903568167239428
1141,40.39,2950,128523,0.07,-1.9668749642897208,59256,0.1009565182030201
1145,40.02,2960,128870,0.07,-1.9961894025092082,59432,0.1128840846940875
1149,40.52,2970,129340,0.07,-2.005554558181345,59664,0.08070794027298689
1152,40.39,2980,129680,0.07,-1.982200792083315,59832,0.0930705820210278
1156,39.1,2990,130085,0.07,-1.8642029858441738,60040,0.0856317519210279
1160,39.09,3000,130459,0.07,-1.9042851626535902,60224,0.08702431246638298
1163,38.84,3010,130791,0.07,-1.871048471185521,60392,0.07632980030030012
1166,35.71,3020,131048,0.07,-1.6920734847417662,60520,0.09840199165046215
1170,35.67,3030,131481,0.07,-1.6635017157598162,60736,0.07658035214990377
1174,35.49,3040,131894,0.07,-1.7078613416573243,60944,0.08591682743281126
1176,35.36,3050,132159,0.07,-1.7240757067540449,61072,0.08627991937100887
1181,36.09,3060,132579,0.07,-1.7529690723011055,61288,0.08084638323634863
1184,34.8,3070,132920,0.07,-1.6681610063817542,61456,0.10191523190587759
1187,34.26,3080,133206,0.07,-1.6384601374264252,61600,0.08060823567211628
1191,34.81,3090,133666,0.07,-1.694384712474367,61832,0.08402780443429947
1196,36.77,3100,134236,0.07,-1.8248788086403203,62112,0.06898057740181684
1200,37.22,3110,134613,0.07,-1.828115574123074,62304,0.08383017359301448
1203,38.13,3120,134961,0.07,-1.9018596320545706,62480,0.08594308095052838
1207,37.76,3130,135357,0.07,-1.8891845822705955,62672,0.08575175143778324
1211,37.65,3140,135759,0.07,-1.853616130808949,62872,0.0713462270796299
1215,38.88,3150,136147,0.07,-1.9033586544167391,63072,0.09787583071738482
1218,38.48,3160,136527,0.07,-1.842315350607756,63256,0.08756044134497643
1223,39.96,3170,137016,0.07,-1.9093607551445686,63504,0.08718573302030563
1226,40.27,3180,137333,0.07,-1.9103240452144388,63664,0.08993213716894388
1231,40.34,3190,137800,0.07,-1.8848717421313514,63896,0.09609970543533564
1235,38.57,3200,138193,0.07,-1.7632162600207604,64096,0.06852131383493543
1238,38.86,3210,138599,0.07,-1.7640684922571936,64296,0.07524791453033686
1243,40.54,3220,139115,0.07,-1.8382744649602727,64552,0.061087590642273426
1247,41.0,3230,139557,0.07,-1.8416463824627969,64776,0.06237017177045345
1251,40.63,3240,139922,0.07,-1.8245683120547858,64960,0.07393461465835571
1255,40.81,3250,140328,0.07,-1.8573807139245773,65160,0.07791545707732439
1259,40.94,3260,140721,0.07,-1.8494122458951905,65360,0.060294142458587885
1263,40.33,3270,141149,0.07,-1.7915207329566218,65568,0.06895734695717692
1267,41.66,3280,141599,0.07,-1.884964037387984,65792,0.07609550096094608
1272,42.08,3290,142108,0.07,-1.91562110853909,66048,0.07069128332659602
1277,42.89,3300,142582,0.07,-1.924328106771793,66288,0.08002604451030493
1280,42.16,3310,142915,0.07,-1.9036002260798062,66456,0.08402368053793907
1285,42.23,3320,143438,0.07,-1.880182078514607,66712,0.06831401726230979
1326,41.69,3330,143826,0.07,-1.8289744202790297,66912,0.08029663702473044
1328,41.13,3340,144135,0.07,-1.7748207418229671,67064,0.06607041461393237
