rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
95.52,-9.552000000000003,1750,1356,173499,0.07,0.17772127757780254,81744
86.96,-8.696,1760,1359,173933,0.07,0.1865940592251718,81960
91.24,-9.124,1770,1368,174958,0.07,0.2492814699653536,82472
88.42,-8.842000000000002,1780,1373,175618,0.07,0.2144625240471214,82808
88.43,-8.843000000000004,1790,1381,176547,0.07,0.18734483793377876,83272
89.17,-8.917000000000003,1800,1388,177382,0.07,0.14067869214341044,83688
85.52,-8.552000000000001,1810,1396,178354,0.07,0.1929045517463237,84176
85.53,-8.553,1820,1403,179255,0.07,0.11912507069064304,84624
86.19,-8.619000000000002,1830,1412,180274,0.07,0.10345998674165457,85136
89.91,-8.991000000000003,1840,1423,181671,0.07,0.18844835658092052,85832
92.28,-9.228000000000003,1850,1433,182827,0.07,0.11228901852155104,86408
98.45,-9.845000000000004,1860,1442,183878,0.07,0.15758049732539803,86936
97.9,-9.790000000000003,1870,1450,184848,0.07,0.1520750275813043,87416
100.61,-10.061000000000003,1880,1458,185779,0.07,0.1551250687916763,87888
97.57,-9.757000000000003,1890,1463,186404,0.07,0.23582735005766153,88200
96.79,-9.679000000000004,1900,1469,187161,0.07,0.14801910752430558,88576
97.65,-9.765,1910,1479,188219,0.07,0.04732915305066854,89104
99.61,-9.961000000000006,1920,1488,189316,0.07,0.14454841800034046,89656
100.26,-10.026000000000007,1930,1498,190400,0.07,0.09107197867706418,90192
94.23,-9.423000000000004,1940,1505,191194,0.07,0.18432555068284273,90592
93.11,-9.311000000000005,1950,1514,192238,0.07,0.10407194617437199,91112
87.6,-8.760000000000003,1960,1518,192738,0.07,0.07181901531293988,91368
92.4,-9.240000000000007,1970,1530,194188,0.07,0.18006184208206832,92088
88.15,-8.815000000000007,1980,1534,194694,0.07,0.16927314130589366,92344
92.82,-9.282000000000004,1990,1544,195786,0.07,0.15389048890210688,92888
95.87,-9.587000000000009,2000,1553,196848,0.07,0.14422009489499032,93416
96.87,-9.687000000000014,2010,1563,198006,0.07,0.12231365183833987,94000
101.11,-10.111000000000013,2020,1576,199527,0.07,0.18936506239697337,94760
