rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,1180,702,143074,74.8,2.0497998783752767,66536,0.1057938642334193
0.07,1190,706,143835,73.96,2.028288012243046,66912,0.04955448638065718
0.07,1200,710,144576,75.31,2.051094196666906,67280,0.10273832172970288
0.07,1210,716,145754,81.86,2.227867064786316,67872,0.13808846985921264
0.07,1220,719,146334,81.83,2.2512085311894525,68160,0.10402924963273108
0.07,1230,724,147251,81.4,2.260156956696869,68624,0.11101214459631592
0.07,1240,729,148317,82.32,2.3001181214061046,69152,0.10182617604732513
0.07,1250,735,149413,87.01,2.425844772836469,69704,0.025921290391124785
0.07,1260,738,149980,84.46,2.3582554234117676,69984,0.06929016398498788
0.07,1270,741,150673,85.81,2.382090392389172,70336,0.05169695825316012
0.07,1280,746,151583,84.09,2.3338383480044347,70784,0.11383455962641165
0.07,1290,752,152644,87.09,2.4259480777647338,71320,0.06270437443163246
0.07,1300,755,153285,86.09,2.416254665224848,71640,0.10475902876351029
0.07,1310,758,153924,80.7,2.270338379341366,71960,0.10270713712088764
0.07,1320,764,155052,86.18,2.422535654779226,72520,0.059223368210950866
0.07,1330,768,155847,84.96,2.402958986281849,72920,0.07025464379694313
0.07,1340,772,156534,81.17,2.3068340884489134,73264,0.09166378807276487
0.07,1350,778,157512,79.99,2.2445807625871783,73752,0.12882000487297773
0.07,1360,784,158462,83.82,2.3380181442137022,74224,0.04949781205505133
0.07,1370,788,159381,86.08,2.4080805551528304,74688,0.1314169866964221
0.07,1380,794,160549,88.66,2.450337207488623,75272,0.11451307497918606
0.07,1390,798,161152,84.08,2.34815921505374,75568,0.09245633246609941
0.07,1400,801,161873,84.88,2.351440471842003,75936,0.11055571655742824
0.07,1410,805,162583,85.59,2.360082637675623,76288,0.13098322140285745
0.07,1420,808,163203,80.51,2.2107600431045675,76600,0.0773725316976197
0.07,1430,812,163983,80.36,2.1846928590224413,76984,0.07164354436099529
0.07,1440,816,164691,80.57,2.207481407926528,77344,0.09694879595190287
0.07,1450,820,165521,79.09,2.181309106426557,77760,0.08518778398865834
0.07,1460,824,166182,76.2,2.118018808038246,78088,0.08895912393927574
0.07,1470,827,166857,73.76,2.060981653507711,78424,0.10066679160809144
0.07,1480,830,167357,67.08,1.9415270682197963,78672,0.09433553379494697
0.07,1490,833,167961,67.09,1.9116436389321825,78976,0.06710752239450812
0.07,1500,838,168920,69.47,1.9978603734614635,79456,0.0505704790703021
0.07,1510,840,169342,66.59,1.911891577822914,79664,0.060796702455263585
0.07,1520,844,170133,68.3,1.968492474240636,80064,0.07085997588001192
0.07,1530,848,170771,66.88,1.9351157340304732,80384,0.08235946705099195
0.07,1540,850,171306,65.15,1.8599765728306488,80648,0.05941349803470075
0.07,1550,853,171777,61.56,1.7973655442052092,80888,0.11997265764512122
0.07,1560,857,172528,62.46,1.8106581459022424,81256,0.06935944117140025
0.07,1570,860,173119,61.62,1.7913434672545108,81552,0.09542549028992653
0.07,1580,863,173742,62.85,1.796623358720323,81864,0.14215910399798304
0.07,1590,867,174568,65.07,1.855627297994967,82280,0.059315723075997084
0.07,1600,870,175190,61.7,1.7630077901011787,82592,0.09588231169618666
0.07,1610,873,175787,63.45,1.8027933768614945,82888,0.16123516485095024
0.07,1620,879,176794,65.61,1.847482850951306,83392,0.0826027225703001
0.07,1630,882,177462,65.91,1.8503299240441147,83728,0.13888576440513134
0.07,1640,885,178066,66.6,1.8744401126504606,84032,0.07939433201681823
0.07,1650,890,179036,71.59,2.110053876771211,84512,0.10523981158621609
0.07,1660,895,180031,74.03,2.262367186257751,85008,0.11494986049365252
0.07,1670,901,181097,78.78,2.3575592638034477,85544,0.13868964137509465
0.07,1680,904,181780,79.38,2.3705861045246,85888,0.08318389288615435
0.07,1690,907,182288,76.2,2.288931952555204,86136,0.09938421216793358
0.07,1700,912,183122,78.32,2.366282976941866,86560,0.13907444034703076
0.07,1710,915,183740,78.53,2.3797974254128436,86864,0.06332287285476923
0.07,1720,918,184338,74.44,2.2622530617002425,87168,0.09381355554796755
0.07,1730,922,185217,76.55,2.308922193891276,87608,0.15045768558047712
0.07,1740,927,186002,78.36,2.380399723451977,88000,0.08816366700921208
0.07,1750,930,186767,76.31,2.2151969381424723,88376,0.10682720399927348
0.07,1760,933,187323,71.92,2.0331464559904115,88656,0.10942692146636546
0.07,1770,936,187770,65.73,1.9074549751588774,88880,0.1376263580750674
0.07,1780,938,188306,64.26,1.8808683506658659,89152,0.150049771880731
0.07,1790,941,188811,64.23,1.9006040106731368,89400,0.17284094402566552
0.07,1800,944,189332,61.1,1.7855034414719615,89664,0.11234080547001213
0.07,1810,949,190381,65.41,1.9591656637359818,90184,0.10870403377339244
0.07,1820,952,190886,64.48,1.9401529017176438,90440,0.14982193952891976
0.07,1830,955,191482,61.65,1.8737121981074751,90736,0.13078480889089406
0.07,1840,957,191928,58.26,1.7841468735730666,90960,0.15249072620645165
0.07,1850,960,192510,56.43,1.7143853937468385,91248,0.07981185207609087
0.07,1860,964,193242,58.19,1.7630119057017284,91616,0.11945999599993229
0.07,1870,967,193914,60.44,1.8455738114241222,91952,0.09480269206687808
0.07,1880,970,194437,60.31,1.833205940512817,92216,0.06303134327754378
0.07,1890,973,195038,61.27,1.835996013826203,92512,0.1642422005534172
0.07,1900,977,195702,62.7,1.8797531983014963,92848,0.136481937719509
0.07,1910,979,196247,57.66,1.6708639169177315,93120,0.13385197054594755
0.07,1920,982,196690,57.04,1.6431464435128778,93344,0.07660184125415981
0.07,1930,986,197450,58.68,1.6928924614371177,93720,0.13598800473846495
0.07,1940,988,197993,59.65,1.698535561029313,93992,0.12179523811209947
0.07,1950,992,198623,60.13,1.7324794676774546,94304,0.1079841936007142
0.07,1960,994,199095,57.53,1.6519911121043607,94544,0.11317927250638604
0.07,1970,997,199743,57.29,1.5773066475434763,94864,0.13239875307772309
