time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss
1417,2000,187566,63.72,-2.5082623000778996,0.07,88776,0.1016461286926642
1425,2010,188579,68.92,-2.6476000765771004,0.07,89288,0.11822236701846123
1431,2020,189343,69.09,-2.7139493892600774,0.07,89664,0.0949580526794307
1438,2030,190348,73.2,-2.8901465804742243,0.07,90168,0.04312381552881561
1445,2040,191257,74.73,-2.97452361241324,0.07,90624,0.10170521319378167
1451,2050,191934,76.96,-3.093312313288747,0.07,90960,0.1592317201429978
1456,2060,192585,78.19,-3.1541270190956068,0.07,91288,0.06404209980973974
1461,2070,193217,78.45,-3.1676658793891157,0.07,91608,0.11974839773029089
1466,2080,193881,77.48,-3.1048446388001896,0.07,91936,0.07136582589009777
1474,2090,194827,79.1,-3.166558308323366,0.07,92408,0.13423321768641472
1481,2100,195713,80.47,-3.2374782202983385,0.07,92856,0.08863511151866987
1488,2110,196638,79.59,-3.245828231755336,0.07,93312,0.09511653546360321
1493,2120,197257,78.14,-3.206984839307049,0.07,93624,0.1329333545290865
1498,2130,197945,74.97,-3.091286336859668,0.07,93968,0.0783215140691027
1504,2140,198664,73.07,-2.990084443949121,0.07,94328,0.09334073268109933
1509,2150,199241,72.07,-2.9281429547268067,0.07,94616,0.11540805618278682
1513,2160,199733,70.48,-2.8467329437479845,0.07,94864,0.11162237962707877
