time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
82485,0.07,16.57,415,-0.6100052145293026,3280,36240,0.002768627367913723
82634,0.07,16.42,415,-0.6029796618879835,3290,36312,0.0028100572671974078
82806,0.07,16.41,416,-0.6062887986222709,3300,36400,0.0032691604283172637
82939,0.07,16.33,417,-0.5943412099296246,3310,36464,0.0027184285427210853
83066,0.07,15.7,418,-0.5573942951739105,3320,36528,0.0026812950964085758
83240,0.07,15.56,419,-0.540874398728048,3330,36616,0.0027915902173845097
83397,0.07,15.05,420,-0.5226402206822579,3340,36696,0.002783476054901257
83620,0.07,15.72,421,-0.5623718325923207,3350,36808,0.002724308258621022
83821,0.07,15.84,422,-0.5660499658411347,3360,36904,0.002830392826581374
83977,0.07,15.87,423,-0.5601613206458409,3370,36984,0.0031171608134172857
84130,0.07,15.45,424,-0.5494487892009308,3380,37064,0.0027437154203653336
84323,0.07,15.89,425,-0.5652212187428358,3390,37160,0.0027743500249926
84492,0.07,15.86,426,-0.5734572695634387,3400,37240,0.0027174974529771134
84673,0.07,16.34,427,-0.5845484708236579,3410,37336,0.0028183032700326294
84803,0.07,16.37,428,-0.5907279787852585,3420,37400,0.0026695689011830837
84965,0.07,16.25,428,-0.5911491541704453,3430,37480,0.002752650500042364
85076,0.07,15.79,429,-0.568622206310115,3440,37536,0.003043797943973914
85201,0.07,14.81,430,-0.5240812079403039,3450,37600,0.0026653591194190085
85355,0.07,14.34,431,-0.5039250011331831,3460,37672,0.0025685032887849957
85519,0.07,14.42,432,-0.5044268946744945,3470,37752,0.0027691929426509887
85672,0.07,14.42,433,-0.49979999527537367,3480,37832,0.002842449932359159
85816,0.07,13.93,433,-0.48470030605193115,3490,37904,0.0026424439856782556
85997,0.07,14.05,434,-0.4829692729320273,3500,37992,0.003015106893144548
86186,0.07,14.13,436,-0.5097580563753931,3510,38088,0.0029336365696508437
