time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/loss,train/n_updates
1770,-11.329671723568604,50.48,191707,1831,0.07,0.5370482802391052,85848
1780,-11.400396141832404,50.66,192012,1834,0.07,0.48836956545710564,86000
1790,-11.39298952023338,50.46,192850,1843,0.07,0.6711873151361942,86424
1800,-11.4202723100155,52.22,193486,1850,0.07,0.6057542711496353,86736
1810,-11.02274160663357,49.04,193830,1853,0.07,0.6782548818737268,86912
1820,-10.414044159913647,48.3,194235,1857,0.07,0.6500508822500706,87112
1830,-9.766524648296548,45.3,194557,1860,0.07,0.5653567183762789,87272
1840,-10.238689280016372,48.29,195152,1866,0.07,0.6027337424457073,87568
1850,-10.860481716698608,50.0,195748,1872,0.07,0.8153264969587326,87872
1860,-10.602630572291053,49.19,196052,1875,0.07,0.6211296077817678,88024
1870,-10.895364922907607,50.71,196878,1883,0.07,0.6444082800298929,88432
1880,-10.879611347596928,50.72,197184,1887,0.07,0.7111503966152668,88584
1890,-9.910738471850797,45.59,197509,1890,0.07,0.6382823139429092,88752
1900,-9.684355198792817,44.23,198009,1895,0.07,0.5531785152852535,89000
1910,-9.498433106000292,43.94,198324,1898,0.07,0.42025964707136154,89160
1920,-9.38391989325562,42.91,198626,1901,0.07,0.7571352012455463,89312
1930,-9.750262598985122,44.53,199110,1906,0.07,0.4987591113895178,89552
1940,-10.036273849093812,44.75,199727,1912,0.07,0.844366317614913,89856
