rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
-2.0173494513748502,0.07,1600,72.51,166876,835,78432,0.08648993377573788
-2.0379813429385925,0.07,1610,73.72,167771,839,78880,0.12711941718589514
-2.0231547010950477,0.07,1620,73.38,168642,844,79320,0.08354315487667918
-2.00504830546965,0.07,1630,73.02,169343,847,79664,0.09253728206385858
-1.9783174781406074,0.07,1640,72.12,170161,852,80080,0.08506009873235598
-1.9941091037894991,0.07,1650,73.04,170905,856,80448,0.04660780853009783
-2.0023668712311986,0.07,1660,74.5,171630,859,80808,0.0790022952714935
-2.0201582567880347,0.07,1670,76.23,172532,864,81264,0.11642258692882024
-1.9280451873422413,0.07,1680,74.24,173337,868,81664,0.03723302070284262
-1.9542353118957434,0.07,1690,75.03,174002,872,82000,0.06614567840006202
-1.9744943220379616,0.07,1700,74.83,174459,874,82224,0.03526422489085235
-1.8735889637840322,0.07,1710,69.87,174858,876,82424,0.06101821013726294
-1.8067023821294494,0.07,1720,66.93,175435,880,82712,0.14071207121014595
-1.8174454100330877,0.07,1730,66.88,176131,883,83064,0.06136713348678313
-1.8348602623547574,0.07,1740,67.46,177007,888,83496,0.11702974067884497
-1.785180656752243,0.07,1750,65.13,177518,890,83752,0.09159967800951563
-1.7106756105983987,0.07,1760,61.69,177899,892,83944,0.10257576522417367
-1.6556654882231987,0.07,1770,59.3,178562,896,84280,0.09066179080400616
-1.6277705897312398,0.07,1780,58.47,179284,900,84640,0.09087311755865812
-1.5338085594343003,0.07,1790,55.13,179615,901,84800,0.10697485037962906
-1.5492801366002027,0.07,1800,56.46,180205,905,85096,0.1354916663840413
-1.556054724590733,0.07,1810,57.1,180668,907,85328,0.10852943145437166
-1.5497926648812728,0.07,1820,57.11,181246,910,85616,0.1920589543879032
-1.5921939070762172,0.07,1830,57.89,182020,915,86008,0.13256475422531366
-1.6024336813381408,0.07,1840,58.25,182932,919,86464,0.08423848851816729
-1.726580049033229,0.07,1850,62.33,183851,924,86920,0.09402477892581373
-1.843139740309678,0.07,1860,66.56,184655,928,87320,0.09237492445390671
-1.9850510412292357,0.07,1870,71.36,185798,935,87896,0.11554925888776779
-2.104737225394794,0.07,1880,76.4,187024,942,88504,0.13018047163495794
-2.205193413624829,0.07,1890,80.13,187728,946,88856,0.0911870778654702
-2.362549147209449,0.07,1900,85.43,188848,952,89416,0.14666528592351824
-2.5145914174946866,0.07,1910,91.44,189912,959,89952,0.13031980028608814
-2.5708310256683835,0.07,1920,93.84,190730,963,90360,0.08491656888509169
-2.5256395655048736,0.07,1930,93.22,191442,967,90720,0.13813469442538917
-2.4925821038018734,0.07,1940,91.72,192204,971,91096,0.1327512722928077
-2.377260768882908,0.07,1950,87.8,192731,974,91360,0.10180034663062543
-2.449191135995257,0.07,1960,91.13,193868,980,91928,0.13742859615013003
-2.411138896255507,0.07,1970,90.33,194931,986,92464,0.09361311583779752
-2.332983753107353,0.07,1980,87.23,195847,991,92920,0.1618638951331377
-2.3382523658806034,0.07,1990,87.66,196594,995,93296,0.09142048982903361
-2.1798083394792247,0.07,2000,82.4,197188,998,93592,0.04542027955176309
-2.1975323866635477,0.07,2010,83.05,198317,1004,94152,0.03676716718473472
-2.1343558444561057,0.07,2020,80.46,198876,1007,94432,0.14458176586776972
-2.1048307738832532,0.07,2030,79.27,199469,1010,94728,0.060562561615370214
