rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates
90.68,-9.068,1930,0.07,1493,185349,0.12124206763110124,87672
93.76,-9.375999999999998,1940,0.07,1501,186365,0.2598873320966959,88176
96.72,-9.672000000000004,1950,0.07,1512,187590,0.12248828925658017,88792
91.38,-9.138000000000002,1960,0.07,1516,188110,0.16121279750950634,89048
90.63,-9.063000000000002,1970,0.07,1525,189077,0.15259784006047994,89536
89.32,-8.932000000000006,1980,0.07,1535,190256,0.10271798638859764,90120
95.2,-9.520000000000003,1990,0.07,1547,191594,0.23775591142475605,90792
91.81,-9.181000000000004,2000,0.07,1553,192229,0.17180573428049684,91112
91.14,-9.114000000000003,2010,0.07,1559,192924,0.13752339844359085,91456
98.15,-9.815000000000005,2020,0.07,1569,194147,0.17716890387237072,92072
94.52,-9.452000000000004,2030,0.07,1576,194901,0.17730742308776826,92448
98.31,-9.831000000000003,2040,0.07,1588,196296,0.1078924024477601,93144
96.81,-9.681,2050,0.07,1596,197371,0.15718393493443727,93680
103.91,-10.391000000000002,2060,0.07,1607,198601,0.08112056425306946,94296
101.75,-10.175000000000002,2070,0.07,1613,199352,0.10667338425992057,94672
96.42,-9.642,2080,0.07,1619,199998,0.10767387686064467,94992
