time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
82085,3470,0.07,0.5358525133648679,15.58,431,0.07856969814747572,36040
82229,3480,0.07,0.5191968207064476,15.25,432,0.08109087683260441,36112
82371,3490,0.07,0.5268594959053964,15.31,433,0.0859271353110671,36184
82551,3500,0.07,0.5478321187321404,15.58,434,0.07532924832776189,36272
82740,3510,0.07,0.5787149654886966,16.1,435,0.08597617503255606,36368
82906,3520,0.07,0.6048457113804339,16.41,436,0.07425172766670585,36448
83073,3530,0.07,0.6071189128464958,16.45,437,0.082313590683043,36536
83238,3540,0.07,0.5982863893707214,16.13,438,0.07404060009866953,36616
83416,3550,0.07,0.5988103633570429,16.29,439,0.07663094671443105,36704
83586,3560,0.07,0.5857863798713641,16.12,440,0.07683249935507774,36792
83748,3570,0.07,0.5667243198686045,15.63,441,0.07335944380611181,36872
83919,3580,0.07,0.5786014948156082,15.9,442,0.0789718022570014,36952
84112,3590,0.07,0.5892142630952713,16.41,443,0.06597447022795677,37048
84282,3600,0.07,0.5725491055480996,16.31,444,0.07458968926221132,37136
84441,3610,0.07,0.5622966880711541,16.01,445,0.06759255239740014,37216
84604,3620,0.07,0.5580978215521968,15.98,446,0.07214617636054754,37296
84751,3630,0.07,0.5530462117041085,15.78,447,0.07775466004386544,37368
84915,3640,0.07,0.5538049466423213,15.77,448,0.07020306633785367,37456
