time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
1520,186,13.42,41811,0.07,0.4862373606770635,15904,0.3210875131189823
1530,187,13.17,41965,0.07,0.4829321306730453,15976,0.29094257205724716
1540,188,13.05,42108,0.07,0.4803509529858854,16048,0.2528505511581898
1550,189,13.5,42276,0.07,0.5133994224286461,16136,0.3130164332687855
1560,190,13.17,42391,0.07,0.4975621460741738,16192,0.3219881132245064
1570,191,13.21,42544,0.07,0.4939927754811522,16264,0.2686249818652868
1580,191,13.29,42682,0.07,0.4978105074900336,16336,0.31584252044558525
1590,192,12.96,42791,0.07,0.4817603156853496,16392,0.2752636820077896
1600,193,13.18,42933,0.07,0.4883399736621294,16464,0.2957839500159025
1610,194,12.95,43074,0.07,0.47498370931340206,16536,0.28760842978954315
1620,195,13.06,43217,0.07,0.48000841495859226,16608,0.3452332317829132
1630,196,12.79,43344,0.07,0.4644410590793948,16664,0.2690616771578789
1640,196,12.47,43455,0.07,0.44114832225861134,16720,0.29522259160876274
1650,197,12.0,43576,0.07,0.4098667178346103,16784,0.343327060341835
1660,198,12.33,43724,0.07,0.429782123052723,16856,0.305061811581254
1670,199,12.14,43858,0.07,0.42112584217778937,16928,0.3149133250117302
1680,199,12.13,43995,0.07,0.4171807121155468,16992,0.28357017412781715
1690,201,12.62,44153,0.07,0.4371000927945867,17072,0.3247001003473997
1700,201,12.4,44273,0.07,0.4286339831820322,17136,0.3178131338208914
1710,202,12.7,44444,0.07,0.4389860526583089,17216,0.3353612460196018
1720,203,12.74,44591,0.07,0.43774773148490953,17288,0.2952465694397688
1730,204,12.7,44714,0.07,0.43534175005146203,17352,0.28334937803447247
1740,205,13.55,44910,0.07,0.4672823149487009,17448,0.29752265848219395
1750,206,13.87,45063,0.07,0.489265136291292,17528,0.2851202432066202
1760,207,14.13,45237,0.07,0.5003075665042771,17616,0.2804559990763664
1770,208,14.16,45374,0.07,0.5039526622986458,17680,0.2812592536211014
1780,209,14.57,45552,0.07,0.5237359725897595,17768,0.27908063866198063
1790,210,14.86,45739,0.07,0.5420346359943703,17864,0.3234732747077942
1800,211,15.04,45877,0.07,0.5451751618886095,17936,0.27335890382528305
1810,212,15.08,46052,0.07,0.543508796930277,18024,0.29118046164512634
1820,213,15.37,46228,0.07,0.552077037890449,18112,0.2972844522446394
1830,214,16.04,46418,0.07,0.5664427295903802,18208,0.2975467015057802
1840,215,15.99,46609,0.07,0.5609401468945832,18304,0.27807676419615746
1850,216,16.1,46773,0.07,0.5514189804362674,18384,0.24837025813758373
1860,217,15.76,46913,0.07,0.5305942572072511,18456,0.27892154082655907
1870,218,16.06,47080,0.07,0.5362560771550914,18536,0.30245518684387207
1880,219,15.57,47209,0.07,0.5126777237067631,18600,0.2946413364261389
1890,219,14.74,47313,0.07,0.46891554382758605,18656,0.28180968947708607
1900,220,15.1,47487,0.07,0.49304929811673376,18736,0.2844969443976879
1910,221,15.12,47664,0.07,0.49931162933978224,18824,0.2855216283351183
1920,222,15.07,47835,0.07,0.49062375887494075,18912,0.27291289530694485
1930,224,15.34,48052,0.07,0.4976285281260694,19024,0.28798129223287106
1940,225,14.98,48207,0.07,0.48731318163467807,19096,0.29489872977137566
1950,225,14.66,48339,0.07,0.4820347293478768,19168,0.2862159814685583
1960,226,14.66,48479,0.07,0.48084400267667715,19232,0.2807338088750839
1970,227,14.64,48644,0.07,0.49044192235802503,19320,0.2775786314159632
1980,228,14.85,48794,0.07,0.4933175696465061,19392,0.2691115774214268
1990,229,15.62,48975,0.07,0.5324454150300315,19480,0.29456003196537495
2000,230,15.35,49122,0.07,0.5101566339610535,19560,0.27554699778556824
2010,231,14.94,49258,0.07,0.48914944347672124,19624,0.2821327894926071
2020,232,15.02,49437,0.07,0.4939260514485472,19712,0.26448240131139755
2030,233,14.39,49591,0.07,0.4845492117205523,19792,0.26107025519013405
2040,234,14.13,49720,0.07,0.4767075337753351,19856,0.29110004752874374
2050,234,13.96,49835,0.07,0.46533588803449716,19912,0.259043974801898
2060,235,14.19,49998,0.07,0.48662899888992084,19992,0.27778350934386253
2070,236,13.95,50139,0.07,0.4725932394359971,20064,0.2542958091944456
2080,237,14.39,50333,0.07,0.4920295140129629,20160,0.29701942577958107
2090,238,13.78,50453,0.07,0.4690467239099789,20224,0.2587106414139271
2100,239,13.85,50607,0.07,0.4839002373510021,20296,0.26331499963998795
2110,240,14.22,50780,0.07,0.5023370715152256,20384,0.2724701911211014
2120,241,14.21,50958,0.07,0.5056758762808685,20472,0.24754353798925877
2130,242,14.54,51145,0.07,0.516848394595618,20568,0.25204406306147575
2140,243,15.12,51332,0.07,0.5403259734131831,20664,0.28090832009911537
2150,244,15.87,51522,0.07,0.5606000902374756,20760,0.2431057896465063
2160,245,15.77,51675,0.07,0.5381237596771186,20832,0.261277386918664
2170,246,16.05,51844,0.07,0.5417810754197949,20920,0.2488534115254879
2180,247,16.08,52041,0.07,0.5313633860859415,21016,0.25217117741703987
2190,248,16.61,52214,0.07,0.5486255651882117,21104,0.28700635582208633
2200,249,16.52,52359,0.07,0.5375592146735527,21176,0.24954146333038807
2210,250,16.52,52532,0.07,0.5289156780704537,21264,0.27580080553889275
2220,251,16.19,52677,0.07,0.5206708095275604,21336,0.25576053746044636
2230,252,16.09,52854,0.07,0.5099605069236781,21424,0.2571917660534382
2240,253,15.7,53002,0.07,0.49340435035962826,21496,0.2582530975341797
2250,254,16.17,53239,0.07,0.5033116738167352,21616,0.2563280388712883
2260,255,16.08,53383,0.07,0.5076610358676578,21688,0.2516870815306902
2270,256,15.9,53534,0.07,0.5062448749599676,21760,0.25373269245028496
2280,257,15.84,53725,0.07,0.5010928540880496,21856,0.25240010023117065
2290,258,15.54,53868,0.07,0.48828821142890017,21928,0.24605842493474483
2300,258,15.33,53992,0.07,0.48305901114850863,21992,0.2460900843143463
2310,259,15.17,54149,0.07,0.49152956511059315,22072,0.24111876264214516
2320,260,15.14,54291,0.07,0.4894913569331586,22144,0.2395437229424715
2330,261,14.79,54433,0.07,0.4851806264364595,22216,0.22914688102900982
2340,262,14.74,54576,0.07,0.49333455103531465,22280,0.23533792793750763
2350,263,14.11,54750,0.07,0.49871181075925314,22368,0.22990387864410877
2360,264,14.05,54888,0.07,0.5001459508978886,22440,0.22549756430089474
2370,265,13.98,55032,0.07,0.49552359299906157,22512,0.23084442131221294
2380,266,13.77,55202,0.07,0.5103509666552248,22600,0.2449291478842497
2390,267,13.89,55357,0.07,0.5274355927619433,22672,0.21454106830060482
2400,267,13.87,55479,0.07,0.5242745918986573,22736,0.22670038603246212
2410,268,14.13,55662,0.07,0.5388711968139552,22824,0.22465565241873264
2420,269,14.1,55801,0.07,0.5375893290249859,22896,0.20187804847955704
2430,270,14.27,55960,0.07,0.5466096130419502,22976,0.20585834421217442
2440,271,14.09,56085,0.07,0.5388239849210206,23040,0.20887433364987373
2450,272,13.47,56197,0.07,0.5055910765944311,23096,0.20466908067464828
2460,272,13.48,56336,0.07,0.5005041409909414,23160,0.2036324478685856
2470,273,13.13,56445,0.07,0.4868054017750511,23216,0.21037728898227215
2480,274,13.05,56607,0.07,0.48984565911467803,23296,0.19967238791286945
2490,275,12.94,56751,0.07,0.480065233593259,23368,0.21460615657269955
2500,276,13.79,56958,0.07,0.49720995724720973,23472,0.22761402279138565
2510,277,12.95,57057,0.07,0.4531890287108309,23528,0.21573522686958313
2520,277,12.75,57176,0.07,0.4456517380351687,23584,0.21737380512058735
2530,279,13.61,57421,0.07,0.4584879272246261,23704,0.2218981459736824
2540,280,13.86,57571,0.07,0.4582327900366159,23784,0.20384200662374496
2550,280,13.59,57656,0.07,0.44451247196387733,23824,0.21823524683713913
2560,281,13.79,57815,0.07,0.4596139019461444,23904,0.201131297275424
2570,282,14.07,57952,0.07,0.47484134022339863,23968,0.19040514901280403
2580,283,13.69,58076,0.07,0.45086012513435164,24032,0.20112579129636288
2590,283,13.44,58195,0.07,0.43344766934386697,24096,0.19441634975373745
2600,284,12.95,58353,0.07,0.42627754293452447,24176,0.19305881299078465
2610,285,13.2,58477,0.07,0.42999803136698267,24232,0.1837384831160307
2620,286,13.3,58606,0.07,0.43250745227217313,24296,0.18519208021461964
2630,287,12.52,58773,0.07,0.4260355775656436,24384,0.1907135657966137
2640,287,12.4,58911,0.07,0.4328013290674643,24448,0.1878002379089594
2650,288,12.87,59043,0.07,0.44932793848180497,24520,0.16609123907983303
2660,289,12.57,59172,0.07,0.42869474904114874,24584,0.19044023007154465
2670,290,12.73,59325,0.07,0.43706154682776616,24656,0.1725984588265419
2680,291,12.62,59438,0.07,0.43042346347249405,24712,0.19560175761580467
2690,292,12.82,59577,0.07,0.4462726509461244,24784,0.19507170468568802
2700,292,12.63,59716,0.07,0.44497739361660815,24856,0.17337071150541306
2710,293,12.74,59851,0.07,0.45466107863780647,24920,0.1738135004416108
2720,294,13.01,60007,0.07,0.4744234167118895,25000,0.1947151031345129
2730,295,12.71,60144,0.07,0.4650153423189123,25064,0.17680810764431953
2740,296,12.52,60263,0.07,0.45559978876772467,25128,0.17946813814342022
2750,296,12.47,60390,0.07,0.46132493765222937,25192,0.18482855334877968
2760,297,12.74,60546,0.07,0.47790491902764937,25272,0.1638641580939293
2770,298,12.87,60712,0.07,0.47974713206781183,25352,0.16703090444207191
2780,299,13.05,60843,0.07,0.48685126711367216,25416,0.16253806464374065
2790,300,13.18,60995,0.07,0.484720543302784,25496,0.1576343234628439
2800,301,12.98,61114,0.07,0.47744701733845646,25552,0.16651801951229572
2810,301,12.81,61232,0.07,0.46946802944447363,25608,0.14842992275953293
2820,302,12.68,61375,0.07,0.46108028646734694,25680,0.14894704055041075
2830,303,12.7,61514,0.07,0.4530761256752627,25752,0.14725486189126968
2840,304,12.82,61645,0.07,0.45255417307596413,25816,0.1526647750288248
2850,304,12.87,61777,0.07,0.4506525501106221,25888,0.15550753381103277
