rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-1.792423238829703,1440,487,45.72,0.07,99559,44776,0.09425571002066135
-1.823011381087075,1450,490,46.54,0.07,100067,45032,0.10000013653188944
-1.7851140307947795,1460,493,44.95,0.07,100584,45288,0.06906050583347678
-1.7690234742017281,1470,495,44.01,0.07,101104,45544,0.07700839661993086
-1.7503510138345657,1480,497,43.66,0.07,101464,45728,0.11261756182648242
-1.8111609219039435,1490,500,44.87,0.07,101977,45984,0.07596875447779894
-1.7845754281463797,1500,502,43.36,0.07,102362,46176,0.08533457946032286
-1.6976330990833346,1510,504,40.68,0.07,102749,46368,0.10486317798495293
-1.7365530289327777,1520,507,41.99,0.07,103237,46616,0.11796259880065918
-1.7148160384731859,1530,508,41.82,0.07,103568,46776,0.09640322532504797
-1.744289588255832,1540,510,42.73,0.07,103932,46960,0.08413409162312746
-1.7485709534547158,1550,513,42.36,0.07,104403,47200,0.09589177230373025
-1.7593940978138605,1560,516,42.3,0.07,104914,47456,0.11450379993766546
-1.7537544795782736,1570,518,41.61,0.07,105365,47680,0.10237122746184468
-1.8083966730484917,1580,520,42.56,0.07,105820,47904,0.093331239069812
-1.771728224838133,1590,522,41.22,0.07,106199,48096,0.12143574794754386
-1.7912519523638126,1600,524,41.17,0.07,106579,48288,0.09692421928048134
-1.8053891518357417,1610,526,40.89,0.07,106938,48464,0.09154805424623191
-1.7367019245755353,1620,528,39.25,0.07,107262,48624,0.1308424612507224
-1.9025092105056374,1630,531,41.65,0.07,107833,48912,0.08089521410875022
-1.8887119457548687,1640,533,41.27,0.07,108159,49072,0.07082713535055518
-1.8245712907245966,1650,534,39.33,0.07,108436,49216,0.08993951370939612
-1.8279914543009528,1660,537,38.52,0.07,108866,49432,0.08653110021259636
-1.7578896598798572,1670,539,36.97,0.07,109162,49576,0.08251683693379164
-1.7935331783255055,1680,542,38.44,0.07,109764,49880,0.10241449996829033
-1.868619571199007,1690,545,39.94,0.07,110293,50144,0.09537597978487611
-1.8604214035935605,1700,547,39.99,0.07,110678,50336,0.06302538141608238
-1.8599983149852377,1710,549,40.44,0.07,111082,50536,0.09687676536850631
-1.9073050607906665,1720,551,40.87,0.07,111449,50720,0.07743261032737792
-1.7702870731526616,1730,553,39.14,0.07,111847,50920,0.10763402236625552
-1.8885360396652726,1740,557,42.51,0.07,112510,51248,0.09697663225233555
-2.054831452754388,1750,561,47.55,0.07,113291,51640,0.09574145590886474
-2.1066280967830866,1760,564,49.96,0.07,113962,51976,0.10472308937460184
-2.25222050173372,1770,568,54.36,0.07,114698,52344,0.09535644110292196
-2.2141090528199614,1780,571,52.99,0.07,115163,52576,0.10725832369644195
-2.2670859919376607,1790,574,54.71,0.07,115864,52928,0.10069165145978332
-2.367027419485829,1800,578,58.37,0.07,116615,53304,0.08001496130600572
-2.4942852226362144,1810,582,61.83,0.07,117365,53680,0.10513467341661453
-2.520898623224189,1820,585,63.66,0.07,117915,53952,0.1102485079318285
-2.701694240858128,1830,590,69.35,0.07,118882,54440,0.11500600818544626
-2.603653718436216,1840,593,66.97,0.07,119307,54648,0.10495762433856726
-2.643892410231601,1850,597,67.84,0.07,120175,55080,0.08471678895875812
-2.670691179878005,1860,601,69.18,0.07,120980,55488,0.09306783345527947
-2.8069424618970555,1870,608,73.25,0.07,122123,56056,0.1027847237419337
-2.942259312564683,1880,613,77.49,0.07,123012,56504,0.09305918728932738
-3.0459264556973205,1890,618,79.01,0.07,123865,56928,0.07781308540143073
-2.9745774040851427,1900,621,76.69,0.07,124384,57184,0.09756028419360518
-3.154375366409978,1910,629,82.47,0.07,125712,57848,0.110661206766963
-3.102824819790767,1920,632,81.02,0.07,126117,58056,0.09698090190067887
-3.1393025320386685,1930,636,80.69,0.07,127051,58520,0.081998479552567
-3.4136227015867915,1940,642,87.96,0.07,128203,59096,0.09044098202139139
-3.3261733186312146,1950,646,86.21,0.07,128896,59440,0.07717357249930501
-3.3236016473985983,1960,650,86.03,0.07,129683,59840,0.11360041471198201
-3.278036279181472,1970,655,83.82,0.07,130605,60296,0.1224338123574853
-3.1859675140695494,1980,658,81.1,0.07,131222,60608,0.10078294645063579
-3.045963080974324,1990,662,79.94,0.07,131959,60976,0.05788529943674803
-3.2854494726215218,2000,668,86.47,0.07,133131,61560,0.08291967934928834
-3.1377645305243465,2010,672,79.74,0.07,133786,61888,0.08312273025512695
-3.4910262991906063,2020,680,89.94,0.07,135211,62600,0.08501742733642459
-3.7097507281399285,2030,688,97.25,0.07,136876,63432,0.10661753825843334
-3.8730329240078563,2040,696,100.84,0.07,138387,64192,0.08974039740860462
-4.1766760405448204,2050,704,108.77,0.07,139873,64936,0.09495995473116636
-4.498875074958858,2060,713,117.64,0.07,141547,65768,0.06642808369360864
-4.7061074493749935,2070,721,124.16,0.07,143121,66560,0.08471945207566023
-4.888631017917142,2080,727,129.97,0.07,144319,67152,0.09546331409364939
-5.1862004219986515,2090,735,137.82,0.07,145841,67920,0.08072910830378532
-5.229861442736579,2100,742,140.12,0.07,147243,68616,0.08529004734009504
-5.442212967555754,2110,751,150.0,0.07,148886,69440,0.11439500749111176
-5.386400463665386,2120,758,149.48,0.07,150259,70128,0.09426050586625934
-5.2572876416738685,2130,765,146.72,0.07,151648,70816,0.10328520648181438
-5.404751310612044,2140,777,153.94,0.07,153881,71936,0.0940509089268744
-5.382426180432264,2150,785,154.03,0.07,155376,72680,0.1030029277317226
-5.436445047674146,2160,795,155.78,0.07,157225,73608,0.09216404659673572
-5.321534876899097,2170,801,152.62,0.07,158483,74240,0.09095554705709219
-5.292992553113671,2180,807,151.59,0.07,159578,74784,0.09684580424800515
-5.10724013846663,2190,813,146.83,0.07,160624,75304,0.09888954274356365
-5.0001803716964615,2200,818,143.06,0.07,161649,75824,0.08037189766764641
-4.944105613191071,2210,826,141.09,0.07,163095,76544,0.11293181544169784
-5.075041897188873,2220,835,144.02,0.07,164761,77376,0.07923315139487386
-5.096079134252999,2230,843,145.41,0.07,166289,78144,0.08592799352481961
-5.061195364566122,2240,855,147.27,0.07,168708,79352,0.07403884036466479
-4.990270265974367,2250,862,145.99,0.07,170075,80032,0.08374877227470279
-5.048503298527221,2260,874,149.35,0.07,172260,81128,0.07511230511590838
-5.230920975563935,2270,884,156.0,0.07,174183,82088,0.06423664605244994
-5.473131070835258,2280,894,164.11,0.07,176089,83040,0.08003142499364913
-5.884528694311104,2290,904,172.65,0.07,177989,83992,0.06209114799275994
-6.187562675744929,2300,915,183.35,0.07,180084,85040,0.05489760637283325
-6.306098044039913,2310,925,187.94,0.07,181989,85992,0.049119127448648214
-6.2845474857513635,2320,934,188.27,0.07,183688,86840,0.06083985976874828
-6.577448399686695,2330,946,196.36,0.07,186025,88008,0.06816496700048447
-6.727505589971876,2340,959,197.31,0.07,188539,89264,0.061328975949436426
-7.1868393211698045,2350,972,208.82,0.07,191057,90528,0.05456571537069976
-7.354312776139154,2360,984,209.58,0.07,193318,91656,0.054657462518662214
-7.78393651877087,2370,998,216.67,0.07,195950,92968,0.05377752333879471
-7.96230788385114,2380,1009,217.92,0.07,197981,93984,0.035798599710687995
