rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,1530,163.5,1234,165561,-8.73174519432462,77776,0.08903077454306185
0.07,1540,155.28,1242,166561,-8.11589806310523,78280,0.0926134770270437
0.07,1550,157.41,1257,168423,-8.033779984771053,79208,0.07366714783711359
0.07,1560,159.7,1271,170208,-7.994139073710208,80096,0.10953847307246178
0.07,1570,156.06,1282,171587,-7.668722616161677,80792,0.1002052070107311
0.07,1580,163.11,1296,173417,-8.00439382427066,81704,0.06336003210162744
0.07,1590,161.73,1308,174906,-7.867320936938772,82448,0.14087068405933678
0.07,1600,172.6,1326,177183,-8.357380071450667,83584,0.11566563253290951
0.07,1610,168.09,1340,178911,-8.102042977977744,84448,0.044526349811349064
0.07,1620,172.79,1355,180966,-8.227064354616353,85480,0.06752562738256529
0.07,1630,174.96,1372,183157,-8.083238271587101,86576,0.07265418948372826
0.07,1640,186.29,1389,185290,-8.591545158852513,87640,0.06888122711097822
0.07,1650,184.41,1402,186964,-8.530532546949424,88480,0.07347340241540223
0.07,1660,178.21,1411,188129,-8.23219795865337,89064,0.05692185665247962
0.07,1670,180.55,1424,189742,-8.313308854243326,89864,0.05566520767752081
0.07,1680,179.28,1438,191445,-8.305143620590426,90720,0.048044458439107984
0.07,1690,174.19,1446,192425,-8.10937768346967,91208,0.02658236736897379
0.07,1700,159.54,1452,193237,-7.374877152705995,91616,0.07063526147976518
0.07,1710,153.71,1461,194382,-7.118166064787676,92184,0.05512255395296961
0.07,1720,146.29,1472,195695,-6.880686488015187,92840,0.041150100296363235
0.07,1730,135.75,1480,196832,-6.502400738368049,93408,0.06938560615526512
0.07,1740,131.8,1494,198570,-6.422546597533336,94280,0.07415032724384218
