rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,297,27.81,960,45360,-0.9679952250040609,17672,0.16723867290420458
0.07,300,28.87,970,45666,-0.9904496624352521,17832,0.18553247494855896
0.07,301,28.88,980,45844,-0.9974910143188781,17920,0.21138185542076826
0.07,304,29.51,990,46163,-1.0187335665106252,18080,0.20065417420119047
0.07,309,30.46,1000,46784,-1.0074801468564052,18384,0.15235351491719484
0.07,315,34.14,1010,47421,-1.1628136501071495,18704,0.1914870087057352
0.07,317,34.18,1020,47740,-1.1556709828470755,18864,0.18414013553410769
0.07,322,35.89,1030,48256,-1.183321935226219,19120,0.22432584129273891
0.07,326,37.24,1040,48721,-1.2224305926785413,19360,0.24119442701339722
0.07,329,38.92,1050,49159,-1.2889961724852794,19576,0.2009983854368329
0.07,332,39.93,1060,49453,-1.3165464316046058,19720,0.19038860965520144
0.07,335,40.67,1070,49833,-1.3368314748325556,19912,0.18112978897988796
0.07,339,44.12,1080,50356,-1.429684629566175,20176,0.19500176701694727
0.07,347,49.71,1090,51234,-1.5646179566599734,20616,0.24656028673052788
0.07,349,45.93,1100,51477,-1.454865384780848,20736,0.24392902106046677
0.07,352,44.05,1110,51926,-1.326872391151336,20960,0.2129630297422409
0.07,357,46.01,1120,52441,-1.358450568089307,21216,0.21886277571320534
0.07,359,43.96,1130,52752,-1.2802686899757842,21368,0.14679250586777925
0.07,362,42.65,1140,53086,-1.234408802550055,21536,0.19316415046341717
0.07,365,41.19,1150,53378,-1.170611765383351,21688,0.1546129715279676
0.07,366,40.02,1160,53555,-1.1392744642752397,21776,0.15657682437449694
0.07,368,38.31,1170,53764,-1.0713904787940236,21880,0.1536236247047782
0.07,370,36.06,1180,54062,-0.9817035195841732,22024,0.1617783821420744
0.07,374,31.79,1190,54513,-0.8826112162102244,22256,0.1713407263159752
0.07,378,33.88,1200,54965,-0.947553157605497,22480,0.1793531607836485
0.07,382,35.08,1210,55534,-0.9732606656426946,22760,0.12321348406840116
0.07,385,32.53,1220,55794,-0.9340674211004644,22896,0.1685722628608346
0.07,387,32.18,1230,56070,-0.9313385009000403,23032,0.223820049315691
0.07,391,33.3,1240,56516,-0.9457956243262202,23256,0.08242102808435448
0.07,394,34.33,1250,56911,-0.9564979405174086,23448,0.1546522183343768
0.07,396,34.85,1260,57140,-0.9628310680725446,23568,0.20825498132035136
0.07,399,36.25,1270,57489,-1.0005074891808092,23744,0.23167157545685768
0.07,404,39.89,1280,58151,-1.1097222366875532,24072,0.15450346539728343
0.07,405,36.96,1290,58309,-1.0196237682465812,24152,0.21291374042630196
0.07,408,35.36,1300,58601,-0.9764272422136314,24296,0.16777737624943256
0.07,410,33.09,1310,58943,-0.9205025210376218,24464,0.19840049045160413
0.07,413,33.09,1320,59203,-0.9178052833113683,24600,0.19109950214624405
0.07,415,33.88,1330,59558,-0.9602867929030091,24776,0.20659271534532309
0.07,417,30.97,1340,59713,-0.8844183899582702,24856,0.2235581986606121
0.07,421,31.69,1350,60180,-0.925394295749707,25088,0.1880039619281888
0.07,424,33.05,1360,60545,-0.9685480957542206,25272,0.18954192340606824
0.07,427,33.29,1370,60918,-0.9770286934387361,25456,0.1911802776157856
0.07,429,28.96,1380,61147,-0.869068519413134,25568,0.15156669449061155
0.07,431,29.78,1390,61387,-0.889744034064481,25688,0.1638922616839409
0.07,433,29.3,1400,61631,-0.8746192291567405,25808,0.16522349714068696
0.07,434,27.78,1410,61821,-0.8528847446692687,25904,0.17023594584316015
0.07,437,28.78,1420,62181,-0.8735277740719186,26088,0.16575366165488958
0.07,439,28.09,1430,62467,-0.8434654290670585,26232,0.1641903044655919
0.07,444,31.54,1440,62967,-0.9487224813481618,26480,0.20311670750379562
0.07,446,29.86,1450,63266,-0.8893730340668669,26632,0.1588902334915474
0.07,448,27.92,1460,63437,-0.8408632954600224,26712,0.25534936506301165
0.07,450,27.6,1470,63778,-0.8239832430501575,26888,0.16933363303542137
0.07,452,27.84,1480,64031,-0.8298212093622452,27008,0.11707860371097922
0.07,453,26.59,1490,64146,-0.7953186433365538,27072,0.14059639378683642
0.07,457,28.12,1500,64543,-0.8335123184180714,27264,0.17003652919083834
0.07,459,28.4,1510,64761,-0.8421353193246197,27376,0.16234336886554956
0.07,460,26.04,1520,64885,-0.7705230485566296,27440,0.20073200995102525
0.07,461,24.71,1530,65038,-0.7334087813429773,27512,0.18267769599333405
0.07,463,21.71,1540,65238,-0.6385371432331045,27616,0.18990598618984222
0.07,465,20.96,1550,65462,-0.6354782847989427,27728,0.20115064177662134
0.07,466,21.33,1560,65670,-0.6408445082339557,27832,0.14865117240697145
0.07,468,20.24,1570,65902,-0.6295400827638528,27944,0.1849839175119996
0.07,470,19.94,1580,66125,-0.6311963072696332,28056,0.2108610961586237
0.07,472,20.9,1590,66336,-0.6715185899223249,28160,0.2121881442144513
0.07,475,20.76,1600,66719,-0.6641720804287141,28352,0.10909802670357749
0.07,477,20.95,1610,66956,-0.680737036121185,28472,0.20563650969415903
0.07,479,22.28,1620,67213,-0.7173530040501614,28600,0.20550495106726885
0.07,481,23.05,1630,67443,-0.7465478994143155,28720,0.18444675393402576
0.07,483,23.2,1640,67658,-0.7596436232678413,28824,0.2018327204277739
0.07,484,22.2,1650,67782,-0.720516464566161,28888,0.1947879446670413
0.07,486,22.66,1660,68036,-0.7289559160829912,29016,0.22394118458032608
0.07,489,23.84,1670,68386,-0.7483207408898152,29192,0.1717679062858224
0.07,491,25.09,1680,68734,-0.787876704062044,29360,0.15725355048198253
0.07,494,25.6,1690,68996,-0.800067776640675,29496,0.17794420197606087
0.07,497,25.33,1700,69352,-0.8217758299209453,29672,0.13981869257986546
0.07,498,24.56,1710,69512,-0.8014942216435871,29752,0.24106309562921524
0.07,499,23.68,1720,69681,-0.786543804962585,29840,0.18311771703884006
0.07,502,24.68,1730,70011,-0.809680304500753,30000,0.17476253816857934
0.07,504,24.5,1740,70208,-0.8098324931410634,30096,0.19238204223802313
0.07,505,25.13,1750,70395,-0.8207539636781863,30192,0.1694878595881164
0.07,508,25.32,1760,70668,-0.8358181210219092,30328,0.16395575227215886
0.07,510,24.34,1770,70920,-0.8244984824975101,30456,0.17754907999187708
0.07,511,22.49,1780,71083,-0.7623273043786247,30536,0.14070519991219044
0.07,512,21.32,1790,71228,-0.722874044640803,30608,0.22663693549111485
0.07,514,19.78,1800,71430,-0.6794451372966935,30712,0.15353468782268465
0.07,516,20.13,1810,71625,-0.6773111453368776,30808,0.13246397208422422
0.07,517,20.31,1820,71812,-0.6754375345837006,30904,0.1961454302072525
0.07,519,19.0,1830,72011,-0.6340557968132594,31000,0.19744643053854816
0.07,520,18.19,1840,72127,-0.5994528530130879,31056,0.2053237296640873
0.07,521,18.21,1850,72316,-0.5997009104525023,31152,0.20841080462560058
0.07,523,17.55,1860,72523,-0.5790312594095717,31256,0.21853940095752478
