rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
-1.355820919941932,590,116606,31.48,1540,0.07,0.09155959635972977,53296
-1.3681688654620539,592,116905,31.8,1550,0.07,0.09544393164105713,53448
-1.4294395712527899,594,117301,33.28,1560,0.07,0.05667335516773164,53648
-1.380352293445322,596,117614,32.72,1570,0.07,0.10840108757838607,53800
-1.413642105239238,598,117969,33.6,1580,0.07,0.0825185552239418,53984
-1.4488077999222637,600,118328,34.3,1590,0.07,0.08897394430823624,54160
-1.4364730053977788,602,118645,34.28,1600,0.07,0.1053259875625372,54320
-1.4836619149848895,605,119174,36.29,1610,0.07,0.10066316835582256,54584
-1.5481379174889216,608,119758,37.71,1620,0.07,0.10400192206725478,54872
-1.6013445920609208,610,120142,38.77,1630,0.07,0.0723319142125547,55064
-1.621471619935829,613,120731,40.25,1640,0.07,0.09517089743167162,55360
-1.6873545133237604,616,121238,42.33,1650,0.07,0.10425594775006175,55616
-1.7146466315878897,619,121699,42.98,1660,0.07,0.10646131448447704,55848
-1.7803858667388355,622,122182,44.68,1670,0.07,0.08545163704548031,56088
-1.9753531513408864,626,122898,48.29,1680,0.07,0.09124142490327358,56448
-2.0344226819648776,628,123420,49.92,1690,0.07,0.07206804491579533,56704
-2.1180386008137018,631,123857,51.12,1700,0.07,0.06783826556056738,56928
-2.2455750920052995,635,124636,53.62,1710,0.07,0.08133323583751917,57312
-2.200719819326583,637,125074,52.16,1720,0.07,0.10465956176631153,57536
-2.2538084155970846,640,125621,53.79,1730,0.07,0.08844216959550977,57808
-2.1641877050462113,642,126025,51.94,1740,0.07,0.09257459174841642,58008
-2.1529030590994322,645,126469,51.31,1750,0.07,0.08873015036806464,58232
-2.126577294779527,647,126834,50.35,1760,0.07,0.0885765990242362,58416
-2.120267171605716,650,127307,50.25,1770,0.07,0.08618652354925871,58648
-2.1371671192838626,654,128075,50.77,1780,0.07,0.0920405643992126,59032
-2.2417050535412937,658,128825,53.05,1790,0.07,0.081448222277686,59408
-2.364171045426154,662,129538,55.81,1800,0.07,0.09192894352599978,59768
-2.7124203844638206,668,130622,58.86,1810,0.07,0.0682782509829849,60304
-3.0616641606123314,675,131898,67.24,1820,0.07,0.10904044285416603,60944
-3.0557187241001027,677,132405,66.84,1830,0.07,0.11721307039260864,61200
-3.2012908060440526,681,133120,69.95,1840,0.07,0.09024828486144543,61552
-3.2510174430355367,684,133634,70.65,1850,0.07,0.07357873499859124,61816
-3.38580636459338,688,134385,74.51,1860,0.07,0.08518697554245591,62192
-3.6080807970048396,693,135414,80.07,1870,0.07,0.07708151848055422,62704
-3.540290297830485,697,136114,79.39,1880,0.07,0.07902017654851079,63056
