rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-3.0947627726911247,1293,86.4,1670,0.07,172369,81184,0.07264548624516465
-3.3971558662003285,1304,95.04,1680,0.07,173761,81880,0.04617919403244741
-3.65294101091007,1314,102.96,1690,0.07,175018,82504,0.10760116920573637
-3.7645058655286885,1324,105.21,1700,0.07,176368,83176,0.0753026474849321
-3.898304475492836,1332,109.6,1710,0.07,177436,83712,0.03263913682894781
-3.7627652211226144,1338,104.71,1720,0.07,178242,84120,0.07513796503189951
-3.8742561255388583,1346,106.61,1730,0.07,179143,84568,0.10133987697190605
-3.8101078831112205,1352,104.69,1740,0.07,179993,84992,0.04576070391340181
-3.6730959885845844,1358,100.46,1750,0.07,180698,85344,0.04109462347696535
-3.6682050926373595,1363,101.08,1760,0.07,181295,85640,0.083216994011309
-3.636847546434964,1371,98.78,1770,0.07,182347,86168,0.04586838459363207
-3.4146824095534534,1376,90.98,1780,0.07,182959,86472,0.07051972192130052
-3.1806787371237233,1380,83.56,1790,0.07,183474,86736,0.0548655244638212
-2.923286134263804,1385,76.55,1800,0.07,184123,87056,0.051729698141571134
-2.789935411705522,1391,72.76,1810,0.07,184812,87400,0.0890698361909017
-2.645161180239392,1394,68.77,1820,0.07,185219,87608,0.048550443432759494
-2.5013872968521667,1399,66.0,1830,0.07,185843,87920,0.06745895190397277
-2.3613638245748336,1403,61.31,1840,0.07,186224,88104,0.06288066756678745
-2.296074597900061,1407,59.53,1850,0.07,186751,88368,0.09668794873869047
-2.3194932130529655,1411,58.59,1860,0.07,187254,88624,0.05622405145550147
-2.383583294603474,1420,59.3,1870,0.07,188377,89184,0.0453680208302103
-2.419482386789367,1426,61.27,1880,0.07,189186,89592,0.0593609509523958
-2.4954291093405074,1431,62.35,1890,0.07,189809,89904,0.10085013427305967
-2.379048678524996,1434,59.85,1900,0.07,190208,90096,0.12641527480445802
-2.316380523527371,1438,57.7,1910,0.07,190682,90336,0.0684557213098742
-2.3406094002083537,1442,58.07,1920,0.07,191126,90560,0.11859400907997042
-2.3933090487119473,1447,58.41,1930,0.07,191784,90888,0.09883208258543164
-2.5210484622500857,1453,61.93,1940,0.07,192517,91256,0.09323749912437052
-2.570418112848206,1458,62.78,1950,0.07,193129,91560,0.06644520879490301
-2.5007273940894255,1461,61.71,1960,0.07,193525,91760,0.14171500969678164
-2.216278641145794,1465,55.68,1970,0.07,194045,92016,0.08048348763259128
-2.2247533681318323,1473,57.08,1980,0.07,194994,92496,0.11053185776108876
-2.1498000037584806,1478,56.9,1990,0.07,195599,92792,0.059910780109930784
-2.2808115427009743,1484,61.15,2000,0.07,196423,93208,0.09865721763344482
-2.3729130203745417,1490,63.26,2010,0.07,197108,93552,0.09030123183038086
-2.461557774908201,1496,67.2,2020,0.07,197946,93968,0.05855197535129264
-2.4491359970624638,1502,68.24,2030,0.07,198708,94352,0.04612504335818812
-2.4826291305024633,1509,69.8,2040,0.07,199597,94792,0.05520979705033824
