rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.07,103.44,1490,1128,147836,3.904260338128601,0.10907666600542143,68912
0.07,103.73,1500,1139,149194,3.9704401997095267,0.1821394413127564,69592
0.07,106.52,1510,1149,150362,4.119633128554553,0.18302245519589633,70176
0.07,111.99,1520,1158,151464,4.373635858809625,0.16825117159169167,70728
0.07,119.58,1530,1172,153200,4.680393752416843,0.19566554261837155,71592
0.07,126.73,1540,1186,154885,4.87286419872757,0.12301630404544994,72440
0.07,146.11,1550,1209,157885,5.518063758260566,0.06382789593772031,73936
0.07,156.55,1560,1227,160188,5.844958618823498,0.07426699227653444,75088
0.07,165.72,1570,1241,161957,6.1590030491679,0.1395255076349713,75976
0.07,174.53,1580,1260,164394,6.383227067761606,0.17657596548087895,77192
0.07,185.79,1590,1277,166515,6.768551805003116,0.14702714717714116,78256
0.07,191.43,1600,1293,168437,6.915030410267994,0.046619314060080796,79216
0.07,197.71,1610,1307,170233,7.044498424704308,0.12022742349654436,80112
0.07,200.08,1620,1318,171572,7.045998483253251,0.06579371233237907,80784
0.07,200.96,1630,1332,173396,7.013710457765728,0.06040654529351741,81696
0.07,200.51,1640,1345,175036,7.047314493966221,0.2231600239756517,82512
0.07,183.74,1650,1356,176359,6.495448456839912,0.14966575428843498,83176
0.07,174.33,1660,1367,177721,6.173835975317574,0.130159382824786,83856
0.07,163.46,1670,1373,178403,5.769012972059589,0.06381459499243647,84200
0.07,146.99,1680,1379,179193,5.250881435248517,0.13485909026348963,84592
0.07,133.65,1690,1385,179980,4.783975610062948,0.13673682371154428,84984
0.07,122.82,1700,1393,180819,4.41550461890518,0.11785656987922266,85408
0.07,111.64,1710,1398,181497,4.043140908883268,0.06165662489365786,85744
0.07,104.63,1720,1404,182135,3.8277386294546254,0.16169682680629194,86064
0.07,96.25,1730,1412,183121,3.510492915293233,0.1604095155489631,86560
0.07,84.45,1740,1416,183581,3.0778255012195666,0.1593202541116625,86784
0.07,76.93,1750,1420,184152,2.81978311741754,0.16682346229208633,87072
0.07,69.12,1760,1425,184733,2.5853276316179477,0.18306200962979347,87360
0.07,69.97,1770,1431,185500,2.664550084929525,0.10399063245858997,87744
0.07,68.79,1780,1437,186172,2.6625164046507708,0.09270379750523716,88080
0.07,72.25,1790,1446,187305,2.8802770311286356,0.12121754384133965,88648
0.07,70.04,1800,1450,187923,2.8331686470049657,0.10321858752286062,88960
0.07,67.35,1810,1454,188332,2.7214154576621166,0.10535351568250917,89160
0.07,71.47,1820,1462,189382,2.9357294983995503,0.15110941356397234,89688
0.07,69.27,1830,1468,190148,2.9253739085173067,0.13505782617721707,90072
0.07,71.81,1840,1474,190862,3.032654498439713,0.10950273834168911,90424
0.07,73.87,1850,1481,191639,3.121637527220115,0.11491772253066301,90816
0.07,75.45,1860,1487,192378,3.16895410012812,0.1750325718894601,91184
0.07,74.78,1870,1493,193078,3.12098958655341,0.11749600787879899,91536
0.07,77.74,1880,1501,194046,3.243398115231137,0.09474947606213391,92016
0.07,77.48,1890,1510,195153,3.166514909864267,0.12021234480198473,92576
0.07,77.07,1900,1515,195730,3.1287579694167325,0.14507801842410117,92864
0.07,78.13,1910,1519,196245,3.200776041876918,0.09297048160806298,93120
0.07,75.18,1920,1525,197000,3.0458428076027224,0.09249352154438384,93496
0.07,77.4,1930,1534,197988,3.132376643321676,0.11995225679129362,93992
0.07,78.98,1940,1541,198860,3.2550208803668723,0.1638645074563101,94424
0.07,79.35,1950,1548,199674,3.207017930660187,0.20240991876926273,94832
