rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,169683,1260,1257,111.76,-4.195481709539809,79840,0.05891047076147515
0.07,171573,1270,1272,122.49,-4.714054575169544,80784,0.07851873227627948
0.07,173090,1280,1284,128.03,-4.949310914792429,81544,0.058029389154398814
0.07,174609,1290,1296,129.31,-5.13998206962985,82304,0.10608620385755785
0.07,175630,1300,1304,130.57,-5.224234026027508,82808,0.0833918321877718
0.07,178056,1310,1322,144.47,-5.800140171936696,84024,0.04518960218410939
0.07,180118,1320,1337,153.84,-6.180931351548874,85056,0.043038608448114246
0.07,181895,1330,1350,160.25,-6.377942690338813,85944,0.0564199295185972
0.07,183856,1340,1366,166.9,-6.646181960828497,86920,0.03557318984530866
0.07,185802,1350,1380,174.32,-6.960569169764146,87896,0.052823738486040384
0.07,187555,1360,1394,177.72,-7.3177462921288425,88776,0.012622665119124576
0.07,189022,1370,1405,173.49,-7.1220430103922725,89504,0.03781593855819665
0.07,191222,1380,1422,180.32,-7.548086841381991,90608,0.08071760641178116
0.07,193068,1390,1434,183.59,-7.78674908603443,91528,0.021128721913555637
0.07,194920,1400,1448,191.9,-8.04492428253568,92456,0.03213024928118102
0.07,197256,1410,1466,191.0,-7.99716064529544,93624,0.0695897524128668
0.07,199368,1420,1481,191.5,-8.107074360813437,94680,0.043155229941476136
